address,version,token0,token1,decimals0,decimals1,fee
0x795065dcc9f64b5614c407a6efdc400da6221fb0,2,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,18,300
0xbf8722f17e8017c96389c20b41ecb62e1f34e4bd,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdefcb64c13442d40db6e45cf7fe1e064e5e360c9,18,18,300
0x3e5e560db64c87e71260878e58d74406e6d693af,2,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0x68a118ef45063051eac49c7e647ce5ace48a68a5,18,18,300
0x28b5e0090ff9c1192e1134135deb17e0b1c1cdbf,2,0xbb14b9b385ca3bd3668bba114b555b3a3e1fa705,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,18,300
0xd86a120a06255df8d4e2248ab04d4267e23adfaa,2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,6,6,300
0x6d37eb2364f8bb28002bd404cf301fa8106dcb14,2,0xbb14b9b385ca3bd3668bba114b555b3a3e1fa705,0xdac17f958d2ee523a2206206994597c13d831ec7,18,6,300
0x055cedfe14bce33f985c41d9a1934b7654611aac,2,0x6b175474e89094c44da98b954eedeac495271d0f,0xdac17f958d2ee523a2206206994597c13d831ec7,18,6,300
0xbc035b6bfb2e6a1f6e7ffb7f44d1e7e2a114d990,2,0x31024a4c3e9aeeb256b825790f5cb7ac645e7cd5,0x5c4ac68aac56ebe098d621cd8ce9f43270aaa355,3,6,300
0xc66ed7c8034e11ebd32499389c35b3e6e9ee3e78,2,0x5c4ac68aac56ebe098d621cd8ce9f43270aaa355,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6,18,300
0x75e66d062a2a8be5c99d71db11d72ab3b82ba8b3,2,0x4cc19356f2d37338b9802aa8e8fc58b0373296e7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,18,300
