address,version,token0,token1,decimals0,decimals1,fee
0x397FF1542f962076d0BFE58eA045FfA2d347ACa0,2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,6,18,300
0x795065dCc9f64b5614C407a6EFDC400DA6221FB0,2,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,300
0xbf8722F17E8017c96389C20b41eCB62e1f34e4Bd,2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdeFCb64c13442D40db6e45CF7fE1E064e5E360C9,18,18,300
0x3E5e560DB64c87e71260878E58D74406e6D693aF,2,0x57Ab1ec28D129707052df4dF418D58a2D46d5f51,0x68A118Ef45063051Eac49c7e647CE5Ace48a68a5,18,18,300
0x28B5E0090Ff9C1192e1134135deb17e0b1C1cdBF,2,0xBB14B9B385ca3bd3668BbA114b555B3a3e1fA705,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,300
0xD86A120a06255Df8D4e2248aB04d4267E23aDfaA,2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdAC17F958D2ee523a2206206994597C13D831ec7,6,6,300
0x6D37Eb2364f8BB28002BD404cF301fA8106DCb14,2,0xBB14B9B385ca3bd3668BbA114b555B3a3e1fA705,0xdAC17F958D2ee523a2206206994597C13D831ec7,18,6,300
0x055CEDfe14BCE33F985C41d9A1934B7654611AAC,2,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xdAC17F958D2ee523a2206206994597C13D831ec7,18,6,300
0xBc035b6bfB2e6a1F6E7ffb7f44d1E7E2a114d990,2,0x31024A4C3e9aEeb256B825790F5cb7ac645e7cD5,0x5c4ac68aAc56eBe098D621Cd8CE9F43270Aaa355,3,6,300
0xc66eD7c8034E11EBd32499389C35b3E6E9eE3e78,2,0x5c4ac68aAc56eBe098D621Cd8CE9F43270Aaa355,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,6,18,300
